Feature,Importance,Mutual Information
Days_Since_Last_Maintenance,0.28376113803835673,0.6109823020599088
Historical_Maintenance_Cost,0.13260386552612713,0.5494502877044916
Vibration_Levels,0.12898471928222116,0.4667056504725129
Impact_on_Efficiency,0.09331993722178439,0.4980467129211785
Battery_Status,0.08466746717316337,0.45704226176127083
Fuel_Consumption,0.06579360472898972,0.4531732056699129
Engine_Temperature,0.05433766290358229,0.3810900750387811
Sensor_Packet_Loss_Rate,0.054333145482455124,0.39076525416677255
Oil_Quality,0.027001104189804847,0.45301156667887255
CAN_Message_Rate_Hz,0.025627332353912794,0.33923099720946004
Anomalies_Detected,0.018089802603077066,0.32088466268425275
Tire_Pressure,0.011127720247139948,0.3015445273842352
Diagnostic_Trouble_Code_Count,0.010112024935014993,0.28768972416498584
Failure_History,0.005030945082497969,0.2326020297711382
Brake_Condition,0.0047243592284130385,0.25717987223115557
Actual_Load,0.00022452020581127438,0.07062667658505073
FL_Client_ID,0.00015033832730089816,0.07979012287036502
Vehicle_ID,1.784727939290708e-05,0.0023543789087214773
Usage_Hours,1.73398826368571e-05,0.00014704008654375933
Load_Capacity,1.2840514133810028e-05,0.004508426050707337
Year_of_Manufacture,9.476545989910927e-06,0.0015282223903261283
Vehicle_Type,9.178151326630554e-06,0.00598681238011789
Make_and_Model,8.147022636585914e-06,0.003679292160027492
Weather_Conditions,8.122576703857352e-06,0.006609454349018051
Route_Info,7.217586495033841e-06,0.007520111195025603
Road_Conditions,4.974731931073877e-06,0.007206969053189738
Telematics_Gateway,4.969251758231579e-06,0.007962508073263708
Edge_Device_Class,4.6477268806149295e-06,0.006492569368712786
Communication_Interface,3.414909274389842e-06,0.018709810596324816
Data_Split,2.1362911873457738e-06,0.01441670969320552
Pre_Event_Record,0.0,0.035553072565396526
Partition_Type,0.0,0.0
Local_Epochs_Per_Round,0.0,0.03588829624347123
Communication_Rounds,0.0,0.029283496465816183
